Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Manish Krishnanand Pandey,168,0,212,10,4-27,21.2,2,0,16.8,7.57
Manoj Kumar Tiwary,318,0,422,16,3-19,26.37,0,0,19.87,7.96
Manpreet Singh Gony,1433,6,1829,69,4-16,26.5,1,0,20.76,7.65
Marchant de Lange,968,3,1414,53,4-23,26.67,2,0,18.26,8.76
Marcus Peter Stoinis,264,0,347,19,4-15,18.26,1,0,13.89,7.88
Marlon Nathaniel Samuels,1501,3,1761,66,3-10,26.68,0,0,22.74,7.03
Martin James Guptill,12,0,19,0,0-8,NA,NA,NA,NA,9.5
Mashrafe Bin Mortaza,2151,2,2774,84,4-19,33.02,1,0,25.6,7.73
Mayank Anurag Agarwal,6,0,8,0,0-8,NA,NA,NA,NA,8
Michael Edward Killeen Hussey,6,0,5,0,0-5,NA,NA,NA,NA,5
Michael Gertges Neser,576,1,830,32,3-24,25.93,0,0,18,8.64
Michael John Buchanan,12,0,24,1,1-24,24,0,0,12,12
Michael John Clarke,273,0,368,9,1-2,40.88,0,0,30.33,8.08
Michael John Lumb,36,0,65,3,3-32,21.66,0,0,12,10.83
Mitchell Aaron Starc,1860,3,2215,127,4-15,17.44,1,0,14.64,7.14
Mitchell Guy Johnson,1804,3,2360,94,3-15,25.1,0,0,19.19,7.84
Mitchell John McClenaghan,2169,5,2885,134,5-29,21.52,2,1,16.18,7.98
Mitchell Ross Marsh,695,1,943,37,4-6,25.48,2,0,18.78,8.14
Mithun Manhas,104,0,143,5,3-33,28.6,0,0,20.8,8.25
Mohamed Farveez Maharoof,1656,0,2029,88,3-21,23.05,0,0,18.81,7.35
Mohammad Ashraful,335,0,444,23,3-13,19.3,0,0,14.56,7.95
Mohammad Asif,832,1,1058,50,5-11,21.16,3,1,16.64,7.62
Mohammad Hafeez,2939,5,3056,135,4-10,22.63,3,0,21.77,6.23
Mohammad Imran Tahir,2862,4,3283,156,4-21,21.04,3,0,18.34,6.88
Mohammad Mustafizur Rahman,943,2,996,57,5-22,17.47,1,1,16.54,6.33
Mohammad Younis Khan,104,0,136,6,3-18,22.66,0,0,17.33,7.84
Mohammed Shami,1053,2,1376,60,4-24,22.93,1,0,17.55,7.84
Mohit Sharma,1584,0,2121,87,4-14,24.37,2,0,18.2,8.03
Mohnish Bipinbhai Parmar,138,0,196,4,2-27,49,0,0,34.5,8.52
Moises Constantino Henriques,2072,0,2805,101,3-11,27.77,0,0,20.51,8.12
Morne Morkel,3526,12,4366,174,4-17,25.09,4,0,20.26,7.42
Munaf Musa Patel,2039,9,2325,100,5-21,23.25,2,1,20.39,6.84
Murali Kartik,3069,1,3450,110,5-13,31.36,0,1,27.9,6.74
Murali Vijay,60,0,68,0,0-2,NA,NA,NA,NA,6.8
Murugan Ashwin,309,0,368,17,3-18,21.64,0,0,18.17,7.14
Musavir Asmat Khote,132,0,187,6,2-29,31.16,0,0,22,8.5
Muttiah Muralitharan,3705,5,3945,179,4-16,22.03,3,0,20.69,6.38
Narangoda Liyanaarachchilage Tissara Chirantha Perera,2878,4,4015,155,5-26,25.9,0,1,18.56,8.37
Nathan John Rimmington,1548,1,2026,82,5-27,24.7,1,1,18.87,7.85
Nathan Leslie McCullum,3162,3,3784,157,4-16,24.1,4,0,20.14,7.18
Nathan Mitchell Coulter-Nile,1634,2,2110,88,4-20,23.97,2,0,18.56,7.74
Nayan Dilip Doshi,1008,1,1143,68,4-22,16.8,4,0,14.82,6.8
Niraj Kanubhai Patel,222,0,321,11,4-29,29.18,1,0,20.18,8.67
Nitish Rana,36,0,61,1,1-10,61,0,0,36,10.16
Owais Alam Shah,57,0,78,5,2-26,15.6,0,0,11.4,8.21
Padmanabhan Prasanth,955,1,953,63,4-13,15.12,1,0,15.15,5.98
Paidikalva David Vijaykumar,342,0,466,10,2-16,46.6,0,0,34.2,8.17
Palani Amarnath,318,1,488,19,2-25,25.68,0,0,16.73,9.2
Pankaj Singh,845,3,1073,33,3-29,32.51,0,0,25.6,7.61
Pardeep Sahu,129,0,165,4,2-18,41.25,0,0,32.25,7.67
Parvez Rasool Zarghav,810,0,930,27,3-17,34.44,0,0,30,6.88
Parvinder Awana,1359,3,1723,77,4-30,22.37,2,0,17.64,7.6
Patangay Manikrao Sarvesh Kumar,30,0,42,1,1-18,42,0,0,30,8.4
Patrick James Cummins,1093,6,1389,57,4-16,24.36,2,0,19.17,7.62
Paul Chandrasekhar Valthaty,247,0,342,11,4-29,31.09,1,0,22.45,8.3
Paul David Collingwood,1372,0,1622,81,5-6,20.02,3,2,16.93,7.09
Pawan Negi,1049,2,1309,48,5-22,27.27,1,1,21.85,7.48
Pawan Suyal,353,1,467,12,2-15,38.91,0,0,29.41,7.93
Piyush Pramod Chawla,3684,4,4532,182,4-17,24.9,3,0,20.24,7.38
Pradeep Sangwan,1300,2,1639,61,3-13,26.86,0,0,21.31,7.56
Pragyan Prayish Ojha,2771,2,3297,148,4-15,22.27,3,0,18.72,7.13
Prasanth Parameswaran,707,0,913,33,3-25,27.66,0,0,21.42,7.74
Praveenkumar Sakat Singh,3423,19,4235,130,3-18,32.57,0,0,26.33,7.42
Pravin Vijay Tambe,1140,0,1336,59,4-15,22.64,2,0,19.32,7.03
Rahil Akhilahmed Shaikh,6,0,11,0,0-11,NA,NA,NA,NA,11
Rahul Artiprasad Shukla,529,2,725,24,4-27,30.2,2,0,22.04,8.22
Rahul Sharma,1590,3,1886,80,5-23,23.57,2,1,19.87,7.11
Rahul Tewatia,72,0,90,3,1-17,30,0,0,24,7.5
Raiphi Vincent Gomez,552,1,725,17,2-14,42.64,0,0,32.47,7.88
Rajagopal Sathish,487,1,587,20,3-12,29.35,0,0,24.35,7.23
Rajat Bhatia,2364,1,2828,103,4-15,27.45,1,0,22.95,7.17
Rajesh Kinyaram Bishnoi,6,0,10,0,0-10,NA,NA,NA,NA,10
Rajesh Vithal Pawar,132,0,179,6,2-21,29.83,0,0,22,8.13
Raju Ravi Bhatkal,297,0,379,17,3-8,22.29,0,0,17.47,7.65
Ramesh Rajaram Powar,450,0,562,14,2-11,40.14,0,0,32.14,7.49
Ramnaresh Ronnie Sarwan,18,0,22,2,2-10,11,0,0,9,7.33
Ramsawamy Shreyas Gopal,217,0,284,12,2-15,23.66,0,0,18.08,7.85
Ranadeb Ranjit Bose,234,0,334,11,4-40,30.36,1,0,21.27,8.56
Ranganath Vinay Kumar,3028,2,3993,155,4-40,25.76,1,0,19.53,7.91
Ravichandran Ashwin,4150,7,4665,200,4-8,23.32,4,0,20.75,6.74
Ravinder Singh Bopara,3262,1,3996,165,6-16,24.21,2,1,19.76,7.35
Ravindranath Rampaul,2446,10,2994,145,5-9,20.64,7,1,16.86,7.34
Ravindrasinh Anirudhsinh Jadeja,2777,3,3550,119,5-16,29.83,3,1,23.33,7.67
Raymond William Price,1464,7,1561,58,5-12,26.91,0,1,25.24,6.39
Reetinder Singh Sodhi,96,0,126,5,3-23,25.2,0,0,19.2,7.87
Ricky Thomas Ponting,12,0,23,1,1-11,23,0,0,12,11.5
Rishi Dhawan,1270,2,1567,50,3-13,31.34,0,0,25.4,7.4
Robert John Quiney,6,0,13,0,0-13,NA,NA,NA,NA,13
Robin John Peterson,2630,7,3110,122,3-13,25.49,0,0,21.55,7.09
Robin Venu Uthappa,6,0,11,0,0-11,NA,NA,NA,NA,11
Roelof Erasmus van der Merwe,2934,3,3454,142,3-16,24.32,0,0,20.66,7.06
Rohan Ravindra Raje,511,1,667,30,3-15,22.23,0,0,17.03,7.83
Rohan Sunil Gavaskar,87,0,112,3,1-16,37.33,0,0,29,7.72
Rohit Gurunath Sharma,628,0,817,29,4-6,28.17,1,0,21.65,7.8
Ronit Gajanan More,209,2,267,6,2-1,44.5,0,0,34.83,7.66
Rudra Pratap Singh,2903,4,3638,146,5-8,24.91,3,1,19.88,7.51
Rujul Haren Bhatt,329,0,391,13,3-15,30.07,0,0,25.3,7.13
Ryan James Harris,1419,4,1750,81,4-34,21.6,1,0,17.51,7.39
Ryan McLaren,3027,4,3996,140,5-19,28.54,2,1,21.62,7.92
Ryan Neil ten Doeschate,2011,1,2704,104,4-24,26,1,0,19.33,8.06
Ryan Ninan,36,0,65,3,2-31,21.66,0,0,12,10.83
Sachin Baby,94,0,133,3,2-4,44.33,0,0,31.33,8.48
Sachin Ramesh Tendulkar,93,0,123,2,1-12,61.5,0,0,46.5,7.93
Sachin Rana,357,0,403,20,3-22,20.15,0,0,17.85,6.77
Sahibzada Mohammad Shahid Khan Afridi,4842,9,5365,240,5-7,22.35,4,2,20.17,6.64
Salman Butt,108,0,141,5,2-25,28.2,0,0,21.6,7.83
Samuel Badree,3135,18,2933,146,5-22,20.08,1,1,21.47,5.61
Sanath Teran Jayasuriya,1593,1,1983,77,4-24,25.75,1,0,20.68,7.46
Sandeep Sharma,1268,9,1558,70,4-25,22.25,1,0,18.11,7.37
Sanjay Bapusaheb Bangar,578,1,709,31,5-16,22.87,0,1,18.64,7.35
Sanju Viswanath Samson,3,0,4,1,1-4,4,0,0,3,8
Sarabjit Singh Ladda,234,0,328,10,3-30,32.8,0,0,23.4,8.41
Saurabh Sushant Bandekar,568,0,744,38,4-25,19.57,2,0,14.94,7.85
Sayed Iqbal Abdulla,1599,2,1832,76,5-10,24.1,1,1,21.03,6.87
Scott Bernard Styris,2963,2,3637,125,3-5,29.09,0,0,23.7,7.36
Scott Michael Boland,396,0,530,21,3-26,25.23,0,0,18.85,8.03
Sean Anthony Abbott,703,0,1035,36,3-8,28.75,0,0,19.52,8.83
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1912,6,2036,97,4-26,20.98,2,0,19.71,6.38
Separamadu Lasith Malinga Swarnajith,4835,13,5393,299,6-7,18.03,8,4,16.17,6.69
Shadab Bashir Jakati,1572,1,1971,70,5-17,28.15,2,1,22.45,7.52
Shahbaz Nadeem,1812,4,1991,70,3-16,28.44,0,0,25.88,6.59
Shakib Al Hasan,4419,9,4973,242,6-6,20.54,6,2,18.26,6.75
Shalabh Jagdishprasad Srivastava,452,0,653,20,3-29,32.65,0,0,22.6,8.66
Shane Edward Bond,939,4,1109,51,4-19,21.74,1,0,18.41,7.08
Shane Keith Warne,1548,1,1863,70,4-21,26.61,1,0,22.11,7.22
Shane Michael Harwood,845,0,1080,48,3-13,22.5,0,0,17.6,7.66
Shane Robert Watson,3490,5,4471,172,4-15,25.99,2,0,20.29,7.68
Shanthakumaran Sreesanth,1192,6,1639,50,3-29,32.78,0,0,23.84,8.25
Shardul Narendra Thakur,262,0,340,16,2-11,21.25,0,0,16.37,7.78
Shaun Edward Marsh,12,0,13,0,0-2,NA,NA,NA,NA,6.5
Shaun Maclean Pollock,937,4,996,45,3-12,22.13,0,0,20.82,6.37
Shaun William Tait,3600,7,4737,214,5-32,22.13,3,1,16.82,7.89
Shikhar Dhawan,48,0,66,4,1-7,16.5,0,0,12,8.25
Shivam Sharma,163,0,215,9,3-7,23.88,0,0,18.11,7.91
Shivil Kaushik,138,0,192,6,3-20,32,0,0,23,8.34
Shoaib Akhtar,804,5,978,44,5-23,22.22,2,1,18.27,7.29
Shoaib Malik,2486,6,2916,114,5-13,25.57,1,2,21.8,7.03
Shoaib Shabbir Shaikh,84,0,141,4,3-27,35.25,0,0,21,10.07
Shrikant Bhaskar Wagh,629,1,792,39,4-26,20.3,1,0,16.12,7.55
Shrikant Shrihari Mundhe,463,1,626,26,3-22,24.07,0,0,17.8,8.11
Siddharth Dilip Chitnis,72,0,114,4,2-40,28.5,0,0,18,9.5
Siddharth Kaul,864,2,942,47,4-14,20.04,1,0,18.38,6.54
Siddharth Kishorkumar Trivedi,2103,3,2692,103,4-25,26.13,3,0,20.41,7.68
Simon Mathew Katich,18,0,29,0,0-4,NA,NA,NA,NA,9.66
Sohail Tanvir,4892,8,5903,238,6-14,24.8,4,1,20.55,7.23
Sourav Chandidas Ganguly,573,1,756,29,3-27,26.06,0,0,19.75,7.91
Sourav Subrata Sarkar,79,0,127,2,1-15,63.5,0,0,39.5,9.64
Sreenath Aravind,1211,0,1576,72,4-14,21.88,3,0,16.81,7.8
Sridharan Sriram,168,0,227,4,1-19,56.75,0,0,42,8.1
Steven Peter Devereux Smith,785,1,992,51,4-13,19.45,2,0,15.39,7.58
Stuart Terence Roger Binny,1033,1,1299,47,4-14,27.63,1,0,21.97,7.54
Subramaniam Badrinath,18,0,22,1,1-16,22,0,0,18,7.33
Sudeep Tyagi,364,1,480,16,4-45,30,1,0,22.75,7.91
Sumit Narwal,643,4,824,27,3-15,30.51,0,0,23.81,7.68
Sunil Bandacharya Joshi,283,0,338,13,2-11,26,0,0,21.76,7.16
Sunil Philip Narine,4478,17,4245,241,5-19,17.61,10,1,18.58,5.68
Sunny Suresh Gupta,254,0,287,8,2-15,35.87,0,0,31.75,6.77
Suresh Kumar Raina,1305,0,1553,50,4-26,31.06,1,0,26.1,7.14
Suryakumar Ashok Yadav,132,0,140,6,2-11,23.33,0,0,22,6.36
Swapnil Kamlesh Singh,432,0,509,28,6-19,18.17,0,1,15.42,7.06
Syed Mohammad Shoaib Ahmed,102,0,152,5,2-20,30.4,0,0,20.4,8.94
Tabraiz Shamsi,1195,1,1436,57,4-10,25.19,2,0,20.96,7.21
Taduri Prakashchandra Sudhindra,637,3,717,35,5-30,20.48,1,1,18.2,6.75
Tanmay Manoj Srivastava,24,0,26,0,0-13,NA,NA,NA,NA,6.5
Tanmay Mishra,42,0,58,3,3-25,19.33,0,0,14,8.28
Taruwar Kohli,191,0,217,9,2-20,24.11,0,0,21.22,6.81
Tatenda Taibu,24,0,41,0,0-20,NA,NA,NA,NA,10.25
Tillakaratne Mudiyanselage Dilshan,1564,1,1892,64,3-16,29.56,0,0,24.43,7.25
Timil Kaushik Patel,134,0,141,10,3-13,14.1,0,0,13.4,6.31
Timothy Grant Southee,2591,7,3532,135,6-16,26.16,0,2,19.19,8.17
Tirumalasetti Laxminarayana Suman,426,0,563,17,2-14,33.11,0,0,25.05,7.92
Travis Michael Head,109,0,160,6,3-16,26.66,0,0,18.16,8.8
Trent Alexander Boult,1083,3,1434,52,3-19,27.57,0,0,20.82,7.94
Tyron Henderson,1824,6,2195,93,4-29,23.6,1,0,19.61,7.22
Udit Alok Birla,6,0,24,0,0-24,NA,NA,NA,NA,24
Umar Gul,2932,10,3602,188,5-6,19.15,8,2,15.59,7.37
Umeshkumar Tilak Yadav,1989,5,2711,92,5-18,29.46,1,1,21.61,8.17
Varun Raymond Aaron,970,2,1327,40,3-16,33.17,0,0,24.25,8.2
Veer Pratap Singh,300,1,417,14,2-19,29.78,0,0,21.42,8.34
Vidyut Sivaramakrishnan,210,0,242,14,4-24,17.28,1,0,15,6.91
Vijay Shankar,201,0,299,8,2-12,37.37,0,0,25.12,8.92
Vijaykumar Yo Mahesh,929,2,1196,52,4-23,23,2,0,17.86,7.72
Vikram Rajvir Singh,667,0,886,31,4-24,28.58,1,0,21.51,7.97
Vikramjeet Malik,827,3,1012,44,3-18,23,0,0,18.79,7.34
Vikrant Shyam Yeligati,78,0,109,2,2-23,54.5,0,0,39,8.38
Virat Kohli,454,0,661,8,2-25,82.62,0,0,56.75,8.73
Virender Sehwag,358,0,496,22,3-14,22.54,0,0,16.27,8.31
Visvajitsinh Dilipsinh Solanki,153,0,164,6,2-26,27.33,0,0,25.5,6.43
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,1131,5,1278,64,3-16,19.96,0,0,17.67,6.77
Wayne Dillon Parnell,2912,7,3646,146,4-13,24.97,3,0,19.94,7.51
Wilkin Arvind Mota,249,1,298,11,3-29,27.09,0,0,22.63,7.18
Yalaka Gnaneswara Rao,114,0,162,1,1-18,162,0,0,114,8.52
Yalaka Venugopal Rao,306,0,448,8,2-23,56,0,0,38.25,8.78
Yashpal Singh,218,1,249,9,3-26,27.66,0,0,24.22,6.85
Yogesh Nagar,285,0,350,21,3-13,16.66,0,0,13.57,7.36
Yusuf Adam Abdulla,1187,4,1248,63,4-31,19.8,2,0,18.84,6.3
Yusuf Khan Pathan,2121,1,2708,94,4-10,28.8,2,0,22.56,7.66
Yuvraj Singh,1501,0,1816,79,4-29,22.98,2,0,19,7.25
Yuzvendra Singh Chahal,1657,3,2021,85,4-25,23.77,1,0,19.49,7.31
Zaheer Khan,2803,5,3489,129,4-17,27.04,2,0,21.72,7.46
